id,name,code
2,서울,11B10101
3,과천,11B10102
4,광명,11B10103
5,강화,11B20101
6,김포,11B20102
7,인천,11B20201
8,시흥,11B20202
9,안산,11B20203
10,부천,11B20204
11,의정부,11B20301
12,고양,11B20302
13,양주,11B20304
14,파주,11B20305
15,동두천,11B20401
16,연천,11B20402
17,포천,11B20403
18,가평,11B20404
19,구리,11B20501
20,남양주,11B20502
21,양평,11B20503
22,하남,11B20504
23,수원,11B20601
24,안양,11B20602
25,오산,11B20603
26,화성,11B20604
27,성남,11B20605
28,평택,11B20606
29,의왕,11B20609
30,군포,11B20610
31,안성,11B20611
32,용인,11B20612
33,이천,11B20701
34,광주,11B20702
35,여주,11B20703
36,충주,11C10101
37,진천,11C10102
38,음성,11C10103
39,제천,11C10201
40,단양,11C10202
41,청주,11C10301
42,보은,11C10302
43,괴산,11C10303
44,증평,11C10304
45,추풍령,11C10401
46,영동,11C10402
47,옥천,11C10403
48,서산,11C20101
49,태안,11C20102
50,당진,11C20103
51,홍성,11C20104
52,보령,11C20201
53,서천,11C20202
54,천안,11C20301
55,아산,11C20302
56,예산,11C20303
57,대전,11C20401
58,공주,11C20402
59,계룡,11C20403
60,세종,11C20404
61,부여,11C20501
62,청양,11C20502
63,금산,11C20601
64,논산,11C20602
65,철원,11D10101
66,화천,11D10102
67,인제,11D10201
68,양구,11D10202
69,춘천,11D10301
70,홍천,11D10302
71,원주,11D10401
72,횡성,11D10402
73,영월,11D10501
74,정선,11D10502
75,평창,11D10503
76,대관령,11D20201
77,태백,11D20301
78,속초,11D20401
79,고성,11D20402
80,양양,11D20403
81,강릉,11D20501
82,동해,11D20601
83,삼척,11D20602
84,울릉도,1.10E+102
85,독도,1.10E+103
86,전주,11F10201
87,익산,11F10202
88,정읍,11F10203
89,완주,11F10204
90,장수,11F10301
91,무주,11F10302
92,진안,11F10303
93,남원,11F10401
94,임실,11F10402
95,순창,11F10403
96,군산,21F10501
97,김제,21F10502
98,고창,21F10601
99,부안,21F10602
100,함평,21F20101
101,영광,21F20102
102,진도,21F20201
103,완도,11F20301
104,해남,11F20302
105,강진,11F20303
106,장흥,11F20304
107,여수,11F20401
108,광양,11F20402
109,고흥,11F20403
110,보성,11F20404
111,순천시,11F20405
112,광주,11F20501
113,장성,11F20502
114,나주,11F20503
115,담양,11F20504
116,화순,11F20505
117,구례,11F20601
118,곡성,11F20602
119,순천,11F20603
120,흑산도,11F20701
121,목포,21F20801
122,영암,21F20802
123,신안,21F20803
124,무안,21F20804
125,성산,11G00101
126,제주,11G00201
127,성판악,11G00302
128,서귀포,11G00401
129,고산,11G00501
130,이어도,11G00601
131,추자도,11G00800
132,울진,11H10101
133,영덕,11H10102
134,포항,11H10201
135,경주,11H10202
136,문경,11H10301
137,상주,11H10302
138,예천,11H10303
139,영주,11H10401
140,봉화,11H10402
141,영양,11H10403
142,안동,11H10501
143,의성,11H10502
144,청송,11H10503
145,김천,11H10601
146,구미,11H10602
147,군위,11H10603
148,고령,11H10604
149,성주,11H10605
150,대구,11H10701
151,영천,11H10702
152,경산,11H10703
153,청도,11H10704
154,칠곡,11H10705
155,울산,11H20101
156,양산,11H20102
157,부산,11H20201
158,창원,11H20301
159,김해,11H20304
160,통영,11H20401
161,사천,11H20402
162,거제,11H20403
163,고성,11H20404
164,남해,11H20405
165,함양,11H20501
166,거창,11H20502
167,합천,11H20503
168,밀양,11H20601
169,의령,11H20602
170,함안,11H20603
171,창녕,11H20604
172,진주,11H20701
173,산청,11H20703
174,하동,11H20704
175,사리원,11I10001
176,신계,11I10002
177,해주,11I20001
178,개성,11I20002
179,장연(용연),11I20003
180,신의주,11J10001
181,삭주(수풍),11J10002
182,구성,11J10003
183,자성(중강),11J10004
184,강계,11J10005
185,희천,11J10006
186,평양,11J20001
187,진남포(남포),11J20002
188,안주,11J20004
189,양덕,11J20005
190,청진,11K10001
191,웅기(선봉),11K10002
192,성진(김책),11K10003
193,무산(삼지연),11K10004
194,함흥,11K20001
195,장진,11K20002
196,북청(신포),11K20003
197,혜산,11K20004
198,풍산,11K20005
199,원산,11L10001
200,고성(장전),11L10002
201,평강,11L10003
